epoch,loss,epoch_time_s,l1_loss,latent_code_regularization_loss,mean_size,mean_load_time,mean_load_rate,whole_load_time,mean_vec_length,std_vec_length,l1_loss_0,chamfer_0,chamfer_0_std,chamfer_0_mean,chamfer_0_median,chamfer_0_hist,assd_0,assd_0_std,assd_0_mean,assd_0_median,assd_0_hist
200,0.0076141477235265684,12.454248428344727,0.0050444339301336455,0.0025697137493438816,12.274096351351357,0.00021482923546352903,74852.60767140712,0.019256245646927808,0.16627430271457982,0.016893952279477507,0.0050444339301336455,0.013329159880778723,0.055436980495699256,0.013329159880778723,0.0025070111971399094,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac17d9ec10>,0.026361261396413278,0.044267883790723585,0.026361261396413278,0.014858321800238992,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac268dde50>
500,0.008821930912499493,12.668186902999878,0.003305389571028787,0.005516541303714385,12.27409635135135,0.00022275544501639701,70443.08684077732,0.02033878439987028,0.20246254431234822,0.017475411698624894,0.003305389571028787,0.014139852228045915,0.07035300867485739,0.014139852228045915,0.0023089922867695826,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac140fd8d0>,0.02446180497629052,0.049290394064843576,0.02446180497629052,0.013146890905869221,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac140feb10>
1000,0.007999018577204363,12.030012130737305,0.002169735893305089,0.005829282734241034,12.274096351351353,0.0001794109876091416,86823.46805667313,0.015750678407179343,0.20839800705780853,0.015592827990248397,0.002169735893305089,0.01085135345366935,0.05583112575139727,0.01085135345366935,0.0021276349516977837,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac14103cd0>,0.021671331339170805,0.04327928000450469,0.021671331339170805,0.011715602753142353,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac2652d610>
1500,0.007492684633345218,11.752399921417236,0.0016482202084483328,0.005844464450067765,12.27409635135135,0.00017046143074293395,89116.51913228394,0.015518068461804776,0.208822843190786,0.017002965952899005,0.0016482202084483328,0.009469853827451672,0.045752875277733904,0.009469853827451672,0.002035316435006651,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac180af190>,0.020417995421032824,0.03926440906406474,0.020417995421032824,0.011565414210254886,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac1410a190>
2000,0.005423169822205563,11.674633979797363,0.0015261410829938344,0.003897028773821689,12.274096351351352,0.00016793387161718833,90435.69742279444,0.015439408655102188,0.208285344613565,0.018412171183405695,0.0015261410829938344,0.008898286925802586,0.042592611495940146,0.008898286925802586,0.002031382867476522,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac17d6d8d0>,0.019994037256073103,0.03784702574738013,0.019994037256073103,0.011336868486412242,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac180b0910>
2500,0.0034351083953436967,11.868828773498535,0.0014865906040712788,0.0019485178038578582,12.274096351351352,0.00016678406580074415,91792.55252170005,0.015425578363843867,0.20250022733533704,0.01653965421625086,0.0014865906040712788,0.008847350183538879,0.04219414971717508,0.008847350183538879,0.002034936235853594,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac26d858d0>,0.019978446380999295,0.038006494472778006,0.019978446380999295,0.011336267522715784,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac180b0b90>
3000,0.0014587810697235368,11.937975406646729,0.0014587810697235368,0.0,12.27409635135135,0.00017736086974272857,85521.05441643232,0.01556466378875681,0.21690665064631282,0.02325412550488034,0.0014587810697235368,0.008875085975193995,0.041938943934981286,0.008875085975193995,0.0020297474837934907,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac14101f10>,0.020058382723407826,0.03801694621695297,0.020058382723407826,0.011261218140931369,<wandb.sdk.data_types.histogram.Histogram object at 0x7eac17d88310>
