specimen,broad_taxon_for_plotting,family,genus,species,life_history_notes,trait,armored,Semi-aquatic,n_cervical,n_thoracic,n_lumbar,color,marker,notes,Total Vert
cordylidae_ouroborus_cataphractus_amnh,cordylidae,Cordylidae,Ouroborus,cataphractus,Saxicolous; bites tail to front,bites tail to front,y,n,5,6,10,"(0.082, 0.76, 0.92)",v',,21
cordylidae_ouroborus_cataphractus_cas2068412,cordylidae,Cordylidae,Ouroborus,cataphractus,Saxicolous; bites tail to front,bites tail to front,y,n,5,9,7,"(0.082, 0.76, 0.92)",v',,21
cordylidae_ouroborus_cataphractus_mcz,cordylidae,Cordylidae,Ouroborus,cataphractus,Saxicolous; bites tail to front,bites tail to front,y,n,5,7,9,"(0.082, 0.76, 0.92)",v',,21
cordylidae_ouroborus_cataphractus_uf191433,cordylidae,Cordylidae,Ouroborus,cataphractus,Saxicolous; bites tail to front,bites tail to front,y,n,5,9,7,"(0.082, 0.76, 0.92)",v',,21
cordylidae_ouroborus_ypm,cordylidae,Cordylidae,Ouroborus,cataphractus,Saxicolous; bites tail to front,bites tail to front,y,n,5,9,7,"(0.082, 0.76, 0.92)",v',,21
cordylidae_platysaurus_capensis_cas203515,cordylidae,Cordylidae,Platysaurus,capensis,Saxicolous,saxicolous,n,n,5,9,10,"(0.10, 0.51, 0.40)",o',,24
cordylidae_platysaurus_guttatus_uf87100,cordylidae,Cordylidae,Platysaurus,guttatus,Saxicolous,saxicolous,n,n,5,9,10,"(0.10, 0.51, 0.40)",o',,24
cordylidae_platysaurus_lebomboensis_cas,cordylidae,Cordylidae,Platysaurus,lebomboensis,saxicolous,saxicolous,n,n,5,5,14,"(0.10, 0.51, 0.40)",o',,24
cordylidae_pseudocordylus_langi_ps-langi,cordylidae,Cordylidae,Pseudocordylus,microlepidotus,Saxicolous,saxicolous,n,n,5,14,4,"(0.10, 0.51, 0.40)",o',,23
cordylidae_pseudocordylus_microlepidotus-uf87641,cordylidae,Cordylidae,Pseudocordylus,langi,Saxicolus,saxicolous,n,n,5,9,10,"(0.10, 0.51, 0.40)",o',,24
cordylidae_smaug_giganteus_uf119459_sg,cordylidae,Cordylidae,Smaug,giganteus,Terrestrail,terrestrial,y,n,5,9,9,"(0.10, 0.51, 0.40)",X',,23
cordylidae_smaug_swazicus_sswazicus,cordylidae,Cordylidae,Smaug,swazicus,Saxicolous,saxicolous,y,n,5,8,11,"(0.10, 0.51, 0.40)",o',,24
cordylidae_smaug_vandami_sv,cordylidae,Cordylidae,Smaug,vandami,Saxicolous,saxicolous,y,n,5,9,10,"(0.10, 0.51, 0.40)",o',,24
corytophanidae_basiliscus_vittatus_uf16636,iguania,Corytophanidae,Basiliscus,vittatus,runs on water,semi-arboreal,n,n,2,10,10,"(0.78, 0.16, 0.16)",d',,22
crotaphytidae_crotaphytus_collaris_uf29333,iguania,Crotaphytidae,Crotaphytus,collaris,Saxicolus,saxicolous,n,n,5,5,12,"(0.78, 0.16, 0.16)",o',,22
dibamidae_dibamus_novaeguineae_uf-h-33488,NA,Dibamidae,Dibamus,novaeguineae,burrowing,burrowing,n,n,5,43,80,"(0.60, 0.50, 0.46)",s',sister to all other lizards; leave out for LOO classification CM's,128
eublepharidae_eublepharis_macularius_uf78934,gekkota,Gekkota Eublepharidae,Eublepharis,macularius,Terrestrial,terrestrial,n,n,5,5,14,"(0.41, 0.227, 0.6)",X',,24
gekkonidae_gekko_gecko_uf-83669,gekkota,Gekkonidae,Gekko,gecko,Arboreal,arboreal,y,n,5,8,11,"(0.41, 0.227, 0.6)",d',,24
gekkota_hoplodactylus_cm51270,gekkota,Diplodactylidae,Hoplodactylus,duvaucelii,Arboreal,arboreal,n,n,5,7,12,"(0.41, 0.227, 0.6)",d',,24
gekkota_tarentola_americana_uf160807,gekkota,Gekkota Phyllodactylidae,Tarentola,americana,Saxicolous,saxicolous,y,n,5,5,15,"(0.41, 0.227, 0.6)",o',,25
gerrhosauridae_broadleysaurus_major_mcz141077_vert,gerrhosauridae,Gerrhosauridae,Broadleysaurus,major,Terrestrail,terrestrial,y,n,5,9,12,"(0.98, 0.39, 0.14)",X',,26
gerrhosauridae_cordylosaurus_subtessellatus_mcz19331,gerrhosauridae,Gerrhosauridae,Cordylosaurus,subtessellatus,Saxicolous,saxicolous,y,n,5,7,14,"(0.98, 0.39, 0.14)",o',,26
gerrhosauridae_gerrhosaurus_flavigularis,gerrhosauridae,Gerrhosauridae,Gerrhosaurus,skoogi,swims in sand,sand swimmer,y,n,5,9,12,"(0.98, 0.39, 0.14)",+',,26
gerrhosauridae_gerrhosaurus_skoogi_cas,gerrhosauridae,Gerrhosauridae,Matobosaurus,maltzahni,Saxicolous,saxicolous,y,n,5,7,12,"(0.98, 0.39, 0.14)",o',,24
gerrhosauridae_matobosaurus_maltzahni_mcz185081,gerrhosauridae,Gerrhosauridae,Tetradactylus,tetradactylus,swims in grass,grass swimmer,y,n,5,9,10,"(0.98, 0.39, 0.14)",P',,24
gerrhosauridae_tetradactylus_africanus,gerrhosauridae,Gerrhosauridae,Zonosaurus,haraldmeieri,Saxicolous,saxicolous,y,n,5,11,19,"(0.98, 0.39, 0.14)",o',,35
gerrhosauridae_tetradactylus_tetradactylus_ummz,gerrhosauridae,Gerrhosauridae,Tetradactylus,africanus,swims in grass,grass swimmer,y,n,5,7,17,"(0.98, 0.39, 0.14)",P',,29
gerrhosauridae_zonosaurus_haraldmeieri_uf,gerrhosauridae,Gerrhosauridae,Gerrhosaurus,flavigularis,Saxicolous,saxicolous,y,n,4,14,8,"(0.98, 0.39, 0.14)",o',,26
gymnopthalmidae_alopoglossus_buckleyi_amnh113763,laterata,Gymnopthalmidae,Alopoglossus,buckleyi,terrestrial,terrestrial,n,n,5,5,14,"(0.73, 0.14, 0.5)",X',,24
gymnopthalmidae_oreosaurus_luctuosus_uf90825,laterata,Gymnopthalmidae,Oreosaurus,luctuosus,terrestrial,terrestrial,n,n,5,5,13,"(0.73, 0.14, 0.5)",X',,23
gymopthalmidae_bachia_bresslaui_uf69434,laterata,Gymnopthalmidae,Bachia,bresslaui,terretrial/burrowing,burrowing,n,n,5,21,17,"(0.73, 0.14, 0.5)",s',,43
helodermidae_heloderma_horridum_uf153328,anguimorpha,Helodermidae,Heloderma,horridum,terrestrial,terrestrial,y,n,5,5,22,"(1.00, 0.79, 0.20)",X',,32
