vtk_basename,family,genus,species,species_key,specimen_id,landmark_found,match_type,matched_vtk_in_csv,LM 1_X,LM 1_Y,LM 1_Z,LM 2_X,LM 2_Y,LM 2_Z,LM 3_X,LM 3_Y,LM 3_Z,LM 4_X,LM 4_Y,LM 4_Z,LM 5_X,LM 5_Y,LM 5_Z,LM 6_X,LM 6_Y,LM 6_Z,LM 7_X,LM 7_Y,LM 7_Z,LM 8_X,LM 8_Y,LM 8_Z,LM 9_X,LM 9_Y,LM 9_Z,LM 10_X,LM 10_Y,LM 10_Z,LM 11_X,LM 11_Y,LM 11_Z,LM 12_X,LM 12_Y,LM 12_Z,LM 13_X,LM 13_Y,LM 13_Z,LM 14_X,LM 14_Y,LM 14_Z,LM 15_X,LM 15_Y,LM 15_Z,LM 16_X,LM 16_Y,LM 16_Z,LM 17_X,LM 17_Y,LM 17_Z,LM 18_X,LM 18_Y,LM 18_Z,LM 19_X,LM 19_Y,LM 19_Z,LM 20_X,LM 20_Y,LM 20_Z,LM 21_X,LM 21_Y,LM 21_Z,LM 22_X,LM 22_Y,LM 22_Z,LM 23_X,LM 23_Y,LM 23_Z,LM 24_X,LM 24_Y,LM 24_Z,LM 25_X,LM 25_Y,LM 25_Z,LM 26_X,LM 26_Y,LM 26_Z,LM 27_X,LM 27_Y,LM 27_Z,LM 28_X,LM 28_Y,LM 28_Z
agamidae_agama_atra_uf180711_01-c3,agamidae,agama,atra,agama_atra,uf180711,True,direct,agamidae_agama_atra_uf180711_01-c3,0.1030635388789265,-0.1960979206473742,0.0554969972716102,0.1058548937111922,-0.1408632350747671,0.0326946954266779,0.0512735019523883,-0.0834768232299768,0.056969123716057,0.0835070957239327,0.0552384622782943,0.0611567613734977,0.1478801261868867,0.0872598873785533,0.0458348593827693,0.1790851286455532,0.1323384644402317,0.0763042519423623,0.0069471605351287,-0.1754458892782459,-0.0797509841471657,0.0763703097335231,0.1627660306142656,-0.0783836808979413,0.0423530876707832,-0.0124376892604797,0.0975512066549121,0.028889592113944,-0.0085658512337591,0.1173806854888845,-0.2149525702706103,-0.0860283994599288,0.0543025843304691,-0.1583110121065433,0.1534821930125512,0.0473225988868964,-0.2176382685312345,0.0359864506140763,0.1846951551926425,-0.0938524217124281,-0.0799197327724272,-0.0208385016084157,-0.0601275690083834,0.1130638037530193,-0.0107916593398134,-0.2264584720018909,0.0477179973426754,-0.1120708106531823,-0.2233001332672804,-0.1416712179649658,0.0772448701101143,-0.1650393766848328,0.2122658964700451,0.0846473486579495,0.0951984049397329,-0.0821046801429578,-0.0875989595567646,0.1177164944919385,0.047527342067272,-0.0878285877504748,0.0956735094398019,-0.0180094503188342,-0.0436614764170506,0.0746294653889828,-0.0093467701165533,-0.1397575121063235,0.0298451551202596,-0.1602709986421541,-0.1191458071523406,0.086258224101147,0.1375206990270785,-0.1085916910087128,0.0486234997430009,-0.0976493721467796,-0.1121675297073153,0.0897787909746425,0.0882149692958039,-0.1048955505852818,-0.0782988229471082,-0.1111037602817604,0.056781454512162,-0.0249693328214532,0.1296095942770975,0.0571001579837776
agamidae_agama_atra_uf180711_02-c4,agamidae,agama,atra,agama_atra,uf180711,True,direct,agamidae_agama_atra_uf180711_02-c4,0.0845538611067631,-0.1944744122976711,0.0578559066786873,0.0901474715541514,-0.1364853697214305,0.0390076465211821,0.0477900170726954,-0.0885018126106089,0.0519667869977087,0.0760265282085505,0.058957422028152,0.0558226678803588,0.1577053924376381,0.1015780104922684,0.0384021397508379,0.1453590398664664,0.1492916812511095,0.080147959282341,0.0064246762475689,-0.1634847197774804,-0.0791349771950633,0.0804322809837944,0.163061435213588,-0.071188772673559,0.0229014416564165,-0.0386993201228514,0.0878136518450238,0.0272307661092846,-0.0055245913355066,0.1032802346539801,-0.2196436619582125,-0.0902659642073692,0.0582984505886805,-0.1746076856958652,0.1631638080518312,0.0644877332127534,-0.1926135803724813,0.0282621036191037,0.1909979240445786,-0.0926296248282481,-0.0827369465309835,-0.0243634296448307,-0.0535304197577778,0.1139687097382761,-0.0199156650856167,-0.2191359497381791,0.0467787323641788,-0.1068015751097255,-0.2296298290738328,-0.1347417234642058,0.0808641447300517,-0.1669003048693398,0.2128936183846682,0.0887444876395511,0.096745499570782,-0.0810930492329737,-0.0885527572783524,0.1191644687603534,0.0397755808090352,-0.086173288983944,0.1059552521465475,-0.0185362910351053,-0.0396361546019561,0.0817851873566054,-0.0147611211558306,-0.1439451499859534,0.0399279749635081,-0.1705472885589535,-0.1179582439828048,0.1017318175702089,0.1430243245233582,-0.1146426037109906,0.0587372391868724,-0.0994096116143771,-0.1085251640477498,0.0905172717823536,0.0851620211285728,-0.1069661899871913,-0.0655344757090705,-0.1207672622148309,0.0544719309884738,-0.0189106545775541,0.1341120362760364,0.0556423074735291
agamidae_agama_atra_uf180711_03-c5,agamidae,agama,atra,agama_atra,uf180711,True,direct,agamidae_agama_atra_uf180711_03-c5,0.0905651867172342,-0.201532153056166,0.0759153262005269,0.097346935073637,-0.1504351043526176,0.0450637545401994,0.0420468418588186,-0.0878107026973854,0.0540215576531774,0.0774616748709087,0.0713423291229776,0.0505834320164333,0.1498066706578714,0.0944585064215355,0.0571806530175522,0.1682761706975794,0.1410014039258282,0.0862570863769427,-0.0026022563287383,-0.1784562128047429,-0.0763546322999129,0.0690772575041798,0.1736540182613661,-0.0623198606916642,0.0212271468181113,-0.0104222855229566,0.1022544968632182,0.0031508609738036,-0.005261028032787,0.1166137524685477,-0.2166542060592122,-0.0941513326510039,0.0534602020580237,-0.1777106030846842,0.1684124493526821,0.0559309172833223,-0.162584745698073,0.0252692208425984,0.1949301876116222,-0.0786360723617134,-0.1004152865335987,-0.0178658376385504,-0.0419496172599693,0.1169001053300083,-0.0110986917651664,-0.1914157563018275,0.0382938844910031,-0.1174445401690095,-0.2301845344773426,-0.1412201120013491,0.0688123816482761,-0.1532258860526573,0.2128498539060903,0.0814007327697502,0.0963703007142347,-0.0772626116879287,-0.0907198760873372,0.1204249282168219,0.0509749967707534,-0.087724330467616,0.0940648561697697,-0.017196309021708,-0.038220331393707,0.0791953655199768,-0.0110961054552251,-0.136531876660744,0.0131699384464896,-0.148508036820881,-0.1371864652938687,0.0830646287073155,0.1520364975794998,-0.1236294342714079,0.0554483713824072,-0.0904070457757859,-0.1269388486413757,0.0821202784795902,0.0555099590396657,-0.1285426784978442,-0.0678622965910296,-0.124681586924883,0.0556903951995838,-0.0199914385935023,0.1381526882950105,0.0564625281710277
agamidae_agama_atra_uf180711_04-c6,agamidae,agama,atra,agama_atra,uf180711,True,direct,agamidae_agama_atra_uf180711_04-c6,0.072782268251064,-0.1916125541989163,0.0630152375646757,0.097446840376995,-0.1511391105491676,0.0500698961533677,0.0274263724917895,-0.1015298620401211,0.0490883683870169,0.0625976220421846,0.0742898807440984,0.057502489906855,0.1260488784243186,0.0951524394856133,0.0500704196889163,0.1474683948948275,0.1422084032604463,0.0849340934191297,-0.0374863356218892,-0.1812900299102361,-0.0543662733443701,0.0514614134645534,0.1984350311370721,-0.0532619334338078,0.0160723444995741,-0.0109844657939466,0.108405745238136,-0.0176772838588365,-0.0029363655698322,0.1274272591724924,-0.2169500211669886,-0.1094220563261383,0.059391883961421,-0.1524799725069943,0.1509435955587797,0.0674965609598229,-0.140551048303204,0.0261240278478084,0.1822457839045946,-0.0717926773557208,-0.1114757844857859,-0.0215853265473454,-0.0284592712947359,0.1328092706829538,-0.0341046783496293,-0.1723112371271762,0.03452210528946,-0.1216152501079836,-0.2250336043627219,-0.1307164668750313,0.088242770265154,-0.1549259766532398,0.2063940377789193,0.1023317210339639,0.1070634986065134,-0.0858034533057653,-0.1002617339858515,0.141008397281427,0.0471219828091764,-0.0964344753692548,0.0732149145951539,-0.013495613949084,-0.0501165822796771,0.0920654595069067,-0.0099507632587908,-0.1456045709369355,0.0268397135221691,-0.1661454689341427,-0.1357311901036809,0.0901728513533995,0.1650330497477495,-0.1290356803143606,0.067819257081103,-0.0902672620353064,-0.1343992664857169,0.0974198421090436,0.0663515975791763,-0.1295542191751886,-0.0670143275045814,-0.1196408204894839,0.0606198348622069,-0.0122263127449345,0.1370246558004949,0.0552291159160491
agamidae_agama_atra_uf180711_05-c7,agamidae,agama,atra,agama_atra,uf180711,True,direct,agamidae_agama_atra_uf180711_05-c7,0.067396136275464,-0.1821692328091413,0.0851819962245704,0.0654220380212866,-0.1338492365716417,0.0363255636575493,0.026014673605936,-0.0949730940750081,0.0510989701396267,0.059930573135992,0.0672928041916538,0.0589187886789236,0.117590921994265,0.0986671989917712,0.0484842519165411,0.1294945429902471,0.1430962158943153,0.1012043626985084,-0.049332995249612,-0.2057975381597963,-0.049070512677152,0.049420305001075,0.2067173117206366,-0.0356037163858966,0.0242301828640896,-0.0064104091961728,0.1076220761074144,-0.0100160940725317,-0.0013019303500117,0.1290741347180763,-0.201413723189582,-0.0897528856548838,0.0610749412535243,-0.1542162728569602,0.1550166257340743,0.0640446989199544,-0.1571200271079403,0.0210575290747477,0.1917840701080693,-0.0795184974231828,-0.1206736344127284,-0.0218359915114211,-0.0278407424259467,0.1380717007745399,-0.0066082087796991,-0.1617662485000745,0.0422479806112556,-0.1112055952053158,-0.2102771749229027,-0.1265552293430907,0.0818510270118902,-0.1464957208622037,0.2007505884735685,0.0916906855666786,0.1037662761942001,-0.0989509999950141,-0.1121093209690938,0.1380961937380866,0.0588780246788933,-0.1047379236598415,0.1037632523798121,-0.0222934355472533,-0.0599738820677103,0.0813899952097602,-0.0093892570766653,-0.1424226302334896,0.0341684041792912,-0.176498480873813,-0.1459445305551555,0.0763505475981048,0.1599284890218217,-0.1370625500051496,0.0811434865699358,-0.1018843712329415,-0.1400835007043881,0.1073424211849918,0.0625274372594198,-0.1403576161921871,-0.0507198435027172,-0.1238895867833319,0.0467167610260607,-0.0168026108288845,0.1401374156547962,0.0519436509191125
agamidae_agama_atra_uf180711_06-t1,agamidae,agama,atra,agama_atra,uf180711,True,direct,agamidae_agama_atra_uf180711_06-t1,0.0581069002523102,-0.1843638429453349,0.0748598777432814,0.0852978468023344,-0.1395840384519025,0.0390851941650734,0.0431533243943688,-0.0928839265034657,0.0482964512971195,0.0679419020075201,0.0650853602872335,0.0563911720495524,0.114732913243188,0.0964822689548841,0.0503527628086295,0.1329919049863497,0.1292387644089229,0.0697158051301176,-0.0469739793227268,-0.1946555096100648,-0.0459433820483606,0.0382342015869018,0.2132982032230039,-0.0345456312799734,0.0319368755366758,-0.0100823284876826,0.0972770134335682,-0.018121600078622,-0.0010380213600173,0.1244362274736127,-0.1958973457646878,-0.0882018731933043,0.0579707223744727,-0.146500542355383,0.1369219961619887,0.0597461836231481,-0.1894911242604448,0.029636658744843,0.1923320463363958,-0.0851177788361357,-0.1078977508214133,-0.0208073901062364,-0.0430409553064237,0.1339792127555438,-0.0119821084655596,-0.1854404202731598,0.0320969128526206,-0.1047522596356571,-0.2061818297548883,-0.1216274650889926,0.0837801801032363,-0.1463779920201089,0.1880897270009343,0.1009756516213387,0.1227070568884826,-0.0987477292599394,-0.1115207495899947,0.1508799114368152,0.0615857992631703,-0.1025159132533683,0.0932029094584076,-0.0146910098464421,-0.0606365376668071,0.0886348633665673,-0.0086403768156911,-0.1458137191583014,0.0157739661343002,-0.1882482365121442,-0.1269741762032512,0.0888246789519094,0.1733862224826912,-0.1170026015170582,0.0735361011002687,-0.1154952963116938,-0.1403376821579795,0.13102467724482,0.0838851500169494,-0.1331885317754136,-0.0699434642823037,-0.108416007522861,0.0540101738360943,-0.0038930011363354,0.1308871365781639,0.0467912208623203
agamidae_agama_atra_uf180711_07-t2,agamidae,agama,atra,agama_atra,uf180711,True,direct,agamidae_agama_atra_uf180711_07-t2,0.0732186160329237,-0.1874042576615069,0.0802891726247288,0.091065215568158,-0.1428841882662921,0.033399514458113,0.0493404567381951,-0.0867964339695411,0.0449119654399974,0.0687087293771907,0.0545240262786608,0.051246755438417,0.1240730325816208,0.0956590955311199,0.0353291485603175,0.1439096436973451,0.1309417253898983,0.0689356845341049,-0.0235957811224471,-0.1720327653121132,-0.0259450095945867,0.0590151026960042,0.194108325629521,-0.0313662513983414,0.0331078766790058,-0.0219271127864455,0.0823576204785197,0.0284525231405971,-0.0073791251199293,0.108432345467471,-0.2213906362366132,-0.079115451415336,0.0550475038879944,-0.1693985407522305,0.1418522832709227,0.0573763766037346,-0.1910058637792928,0.0276125619718333,0.1941258998313914,-0.1085890806215147,-0.0817306249166663,-0.0239325072366711,-0.0666810029222545,0.1217064117022643,-0.0200633644914731,-0.2054960130754787,0.0404570530510509,-0.1064844629070094,-0.2221114313618086,-0.1271079521898369,0.0805788304214644,-0.1507847068456671,0.1894474464389337,0.0955872652913172,0.1230392645150129,-0.0979955695864622,-0.111168539854223,0.159608935984749,0.04984124875291,-0.1020810442659962,0.1299966048621399,-0.0189457674893594,-0.0664037288405515,0.0987290603599306,-0.0075136071255334,-0.1442766152249062,0.0187885030984536,-0.175543548839315,-0.1035214599427143,0.0796202013057105,0.1637611377891979,-0.0941781702705203,0.078066229598708,-0.0941277983981627,-0.1356621550015675,0.1059712197307092,0.0726829420878099,-0.1324782823083031,-0.0820079703548899,-0.1071487998592245,0.0504257494324785,-0.0236501888942572,0.1250587450416017,0.0595177588668138
agamidae_agama_atra_uf180711_08-t3,agamidae,agama,atra,agama_atra,uf180711,True,direct,agamidae_agama_atra_uf180711_08-t3,0.0877950492370939,-0.1783505436309091,0.0635963349986372,0.0930883028511593,-0.133807244486945,0.0255694069049277,0.0659335965035922,-0.0795076648542033,0.0404251029240392,0.0767579462593017,0.0488492950807777,0.044519349131953,0.1367279309893488,0.0824942681730206,0.0333759515878916,0.1531228225559344,0.1327660046539692,0.0765411098142073,-0.0098690941776994,-0.1733798608488044,-0.0285567609945034,0.059468004407807,0.1707922260180334,-0.0313483859858392,0.0627451964547676,-0.0155639120085333,0.0805965504478382,0.046445602215301,-0.0114645200043451,0.1214001396640435,-0.2278869086234555,-0.0679550000185455,0.048551305061954,-0.1808570490198536,0.1389275090080737,0.0433697356188583,-0.190284881442227,0.0192427424440326,0.1912806651684234,-0.112245963864822,-0.0666340687582585,-0.0301713270316772,-0.083619916190623,0.113428444641736,-0.0220734180341535,-0.2236153654904813,0.0506099869971726,-0.1044384429245167,-0.2308432484817009,-0.1147105580211305,0.0748400816273931,-0.1689924565079064,0.192516461780452,0.0857725160621849,0.1096824499880783,-0.1147162844428604,-0.1152440674442865,0.1562250238834827,0.0583681472774291,-0.1078390164673297,0.1019301258505161,-0.0229732238729245,-0.0524953231878464,0.0831510314528009,-0.008885313986714,-0.1426129321377379,0.0172050841387499,-0.1826595857024717,-0.0872266996678032,0.0890769647599698,0.1679844491361712,-0.0751359030202947,0.0712743727148536,-0.1190668214732216,-0.1254136253501288,0.1145080688383857,0.0927013315280311,-0.1153907074080104,-0.0680342585874874,-0.1000967174239457,0.053292058459104,-0.0288884307148868,0.1210904527949137,0.0548163021826722
agamidae_agama_atra_uf180711_09-t4,agamidae,agama,atra,agama_atra,uf180711,True,direct,agamidae_agama_atra_uf180711_09-t4,0.1037026864668842,-0.1829395295463745,0.0607421835681973,0.1022176384789789,-0.1318250019839534,0.0216955192161511,0.0651349576734552,-0.0766317858912827,0.033386773519816,0.0841497749723433,0.0401275883115611,0.0396475516540558,0.1482128991572429,0.0833860762729025,0.0270973565563426,0.1687495812807687,0.129637628459942,0.0701678053254837,-0.0143434902703196,-0.1612278402773178,-0.0258980702163551,0.0618980642043276,0.1585596464287023,-0.0179263396228915,0.0638099201381671,-0.0172671775385376,0.067761853395995,0.0372391644631767,-0.0094806681079919,0.0956332895584238,-0.2383725972168984,-0.0690824433028355,0.0419291064794532,-0.186476014779456,0.1420433796542712,0.0525186351627409,-0.1860303407771293,0.0313766029448706,0.1816524639544565,-0.1257182389514659,-0.0628016505876829,-0.0339672172316861,-0.0969745683063327,0.112740285131683,-0.019892300804018,-0.240514227058354,0.0479608256077866,-0.1011451199023527,-0.2373519277983138,-0.1232226867429275,0.0799050636439847,-0.1764188850273745,0.196382335089642,0.0854260309382633,0.1156344073829279,-0.1060837971141977,-0.1025239879946478,0.160291320936501,0.0555016052582478,-0.0997328958671611,0.1159515348129932,-0.0226543119720932,-0.05455933631684,0.0801010500949562,-0.0101086412866056,-0.1438596595913864,0.0265943277488393,-0.1737155272181734,-0.0805094487839444,0.094036769168422,0.1600179143561675,-0.0693819863019434,0.0675002234033243,-0.1189613791586196,-0.108376997494279,0.106240542430984,0.0893077592083714,-0.0987483062729019,-0.0660145318711379,-0.0993885657367314,0.051957491280572,-0.0332500407575108,0.118349359741177,0.0470005421464717
agamidae_agama_atra_uf180711_10-t5,agamidae,agama,atra,agama_atra,uf180711,True,direct,agamidae_agama_atra_uf180711_10-t5,0.1146999604841618,-0.1814014699992002,0.0613526763499339,0.1146880761792723,-0.1342066221907637,0.0247606867524358,0.0657836626895333,-0.0738205889463286,0.0350345558968383,0.0812702541033644,0.0384248940717231,0.0382664634521993,0.1566487761651093,0.0763623300605708,0.0295706259957887,0.1798882496446578,0.1240961011445067,0.066844548875482,-0.0074391286126054,-0.1683033827160723,-0.0251929324073304,0.0640267913359774,0.1815877175827878,-0.0232794390240795,0.0596527079055384,-0.018137256890155,0.0621414367395871,0.0469221442017651,-0.0109085006445537,0.1077796726626824,-0.2410949380925932,-0.0625208245210715,0.0441053615193919,-0.1884895165817076,0.1309823380718229,0.0415290071968389,-0.191073915199132,0.0266446588400493,0.1820823755291733,-0.1295393035709121,-0.0590288756558375,-0.0313311726922121,-0.1024864821023849,0.1058313348498746,-0.0265537390232222,-0.2589032603856058,0.0536014034243681,-0.1042408634194077,-0.2376689758217799,-0.1061527820767747,0.0734200313664463,-0.1638477502592339,0.1832453750116209,0.0827957967302541,0.120129162619871,-0.0975923466346459,-0.1009901609409684,0.1492303402457626,0.0480989555696068,-0.0956036177095836,0.096819546856503,-0.0199696665561043,-0.0500689893181236,0.0856420052028297,-0.0132662375089832,-0.1396400383448468,0.0171255892723835,-0.1793532878677936,-0.0788230350000967,0.0911274176954177,0.1697765359606793,-0.0642179457538757,0.0685810339372591,-0.1035285935083337,-0.1065426414041502,0.104983321155577,0.0764896802880424,-0.1016229170575176,-0.0649512572215857,-0.0964665552009979,0.0473182477800349,-0.0317245118474433,0.109515666041963,0.0511060052483275
